Unnamed: 0.1,Unnamed: 0,OCCP,RAC2P,ST,CIT,ESR,SCHL,MAR,SEX,PUMA,PUMA_FULL,DOB,DOB-Day-str,DOB-Month-str,DOB-Year-str,PUMA_og,DOB-Day,DOB-Month,DOB-Year,age,weight,DOB-str,DOB-dt,identifiers,name,SSN,credit card number,phone number,zip code,address
2335081,72796287,159,1,2,2,1,22,2,2,6704,0206704,17399,17,April,1978,206704,2,7,49,47,212,17 April 1978,1978-04-17,"DOB,ESR,MAR,OCCP,ST",Cora Sanchez,748-59-8786,3583172788957989,(936) 746-1530,78501,"618 N 10th St, McAllen, TX 78501"
79210,64857236,170,1,2,1,1,18,3,1,900,0200900,15463,28,December,1972,200900,20,3,43,53,121,28 December 1972,1972-12-28,"CIT,DOB,MAR,OCCP,SCHL",Martin Herring,128-49-1292,6011774348734710,(832) 856-2762,75495,"495 W Van Alstyne Pkwy, Van Alstyne, TX 75495"
2874400,19669999,416,7,1,3,1,22,2,2,2406,0102406,21134,8,July,1988,102406,10,2,59,37,193,8 July 1988,1988-07-08,"CIT,MAR,OCCP,RAC2P,SCHL",Emma Kumar,566-38-5926,3555812236231669,(442) 375-9914,94705,"41 Tunnel Rd, Berkeley, CA 94705"
1249293,96859414,175,1,13,1,7,19,5,2,800,1300800,27190,5,February,2005,1300800,24,10,76,20,175,5 February 2005,2005-02-05,"CIT,ESR,MAR,SEX,ST",Mary Hegner,592-25-1140,370366909670546,(360) 777-0674,99301,"1935 W Court St, Pasco, WA 99301"
1324976,44742546,2,1,1,1,2,20,1,2,5411,0105411,27894,10,January,2007,105411,7,1,78,19,131,10 January 2007,2007-01-10,"CIT,DOB,ESR,OCCP,SCHL",Annie Saxon,047-85-3734,6011346706562726,(213) 283-0744,91423,"14006 Riverside Dr, Sherman Oaks, CA 91423"
1563099,9956731,6,16,10,1,6,21,5,1,4200,1004200,25302,6,December,1999,904200,27,3,70,26,129,6 December 1999,1999-12-06,"ESR,OCCP,RAC2P,SEX,ST",George Ojeda,792-38-1308,36990162720460,(828) 866-3453,28337,"195 Vineyard Dr, Elizabethtown, NC 28337"
157337,83774611,1,1,49,3,2,17,4,1,100,4900100,3452,9,February,1940,4900100,6,10,11,85,191,9 February 1940,1940-02-09,"CIT,DOB,ESR,SEX,ST",Samuel Alvarez,876-30-1655,375646417080535,(802) 832-0496,05401,"152 St Paul St, Burlington, VT 05401"
1920122,80852152,166,34,36,1,4,17,1,1,601,3600601,27105,12,November,2004,3600601,11,9,75,21,98,12 November 2004,2004-11-12,"CIT,OCCP,RAC2P,SCHL,ST",Bertrand Lago,390-36-7429,3533092327193741,(575) 842-8938,87002,"2101 Camino Del Llano, Belen, NM 87002"
113497,51767958,232,1,17,1,1,22,3,1,3102,1703102,17010,24,March,1977,1703102,26,6,48,48,67,24 March 1977,1977-03-24,"CIT,DOB,ESR,MAR,OCCP",Wayne Speier,651-47-2665,344190496631932,(629) 857-4949,38103,"120 Monroe Ave, Memphis, TN 38103"
1565895,27715673,1,5,19,3,2,17,4,1,1005,1901005,304,3,March,1931,2001005,1,6,2,94,70,3 March 1931,1931-03-03,"CIT,DOB,MAR,RAC2P,SEX",Andrew Pendlebury,380-46-3433,4586518506716575,(443) 450-6653,20850,"15201 Shady Grove Rd #1, Rockville, MD 20850"
1073223,52557522,70,1,21,1,1,22,1,2,1002,2101002,23232,6,April,1994,2101002,27,7,65,31,337,6 April 1994,1994-04-06,"CIT,DOB,ESR,OCCP,ST",Anna Sullivan,687-35-1170,3584987769453149,(507) 664-1195,55422,"4080 W Broadway, Robbinsdale, MN 55422"
2794546,50375386,52,6,21,3,1,23,2,1,1100,2101100,20443,17,August,1986,2101100,2,12,57,39,232,17 August 1986,1986-08-17,"DOB,ESR,OCCP,SCHL,ST",John Barker,624-82-2804,6011507527354540,(763) 261-2589,55435,"3460 Galleria, Edina, MN 55435"
2450875,48031230,197,6,1,2,4,23,2,1,8001,0108001,22744,4,December,1992,108001,15,3,63,33,72,4 December 1992,1992-12-04,"CIT,ESR,OCCP,RAC2P,SCHL",Thomas Matthews,547-94-4011,30313678377707,(831) 625-7933,92591,"27499 Ynez Rd, Temecula, CA 92591"
788770,52954666,1,18,21,1,3,1,1,2,1601,2101601,34224,10,May,2024,2101601,7,4,95,1,156,10 May 2024,2024-05-10,"CIT,DOB,RAC2P,SCHL,SEX",Luella Tate,168-60-6217,4349578856855744,(612) 408-5573,55120,"760 N Plaza Dr, Mendota Heights, MN 55120"
1249584,23631548,428,10,1,4,1,23,2,1,6500,0106500,13797,6,June,1968,106500,27,8,39,57,77,6 June 1968,1968-06-06,"CIT,MAR,OCCP,RAC2P,SEX",George Lacey,277-82-9126,343518233749891,(442) 520-5231,90401,"101 Wilshire Blvd, Santa Monica, CA 90401"
345075,91639652,32,22,40,1,4,17,1,2,100,4000100,24385,2,June,1997,4000100,5,8,68,28,71,2 June 1997,1997-06-02,"ESR,OCCP,RAC2P,SEX,ST",Elizabeth Wann,225-88-5314,343524082400842,(808) 608-2142,96766,"4331 Kauai Beach Dr, Lihue, HI 96766"
1448632,10876725,17,1,7,1,1,12,1,2,2100,0702100,28201,13,November,2007,702100,8,9,78,18,129,13 November 2007,2007-11-13,"DOB,ESR,MAR,SCHL,ST",Mary Goetzmann,864-99-0917,3509477752047118,(419) 727-9202,44681,"1343 Old Rte 39 NE, Sugarcreek, OH 44681"
622969,19002708,89,1,26,1,4,17,2,1,800,2600800,24398,15,June,1997,2600800,16,8,68,28,264,15 June 1997,1997-06-15,"CIT,DOB,ESR,MAR,OCCP",Marion Butler,235-05-5169,6011229413186999,(270) 526-3960,24277,"42487 E Morgan Ave, Pennington Gap, VA 24277"
1981910,49908314,95,1,17,1,1,19,2,1,2300,1702300,23411,2,October,1994,1702300,5,5,65,31,72,2 October 1994,1994-10-02,"CIT,DOB,ESR,OCCP,SCHL",John Diem,411-35-1085,38749649909130,(731) 325-4382,37090,"921 Murfreesboro Rd, Lebanon, TN 37090"
2835734,89747988,154,1,3,5,5,20,5,1,3709,0303709,20695,26,April,1987,303709,13,7,58,38,57,26 April 1987,1987-04-26,"CIT,ESR,MAR,SCHL,SEX",Earl Cortese,217-73-5156,3523281206797407,(845) 453-2308,10027,"1280 Amsterdam Ave, New York, NY 10027"
179746,15685084,141,62,33,1,6,20,5,1,300,3300300,22205,14,June,1991,3400300,22,8,62,34,44,14 June 1991,1991-06-14,"ESR,MAR,RAC2P,SCHL,SEX",Horace Taylor,218-84-8180,5313493618324212,(316) 251-4754,66441,"605 N Washington St, Junction City, KS 66441"
1181106,32059512,168,31,1,5,5,21,1,2,300,0100300,12453,1,October,1964,100300,3,5,35,61,64,1 October 1964,1964-10-01,"CIT,OCCP,RAC2P,SCHL,SEX",Carrie Wright,406-83-7518,4717464887719064,(760) 830-6850,95988,"226 N Humboldt Ave, Willows, CA 95988"
74707,83011577,71,3,34,2,1,22,5,1,507,3400507,23476,6,December,1994,3300507,27,3,65,31,64,6 December 1994,1994-12-06,"CIT,DOB,RAC2P,SEX,ST",Leslie Glaser,147-34-2288,3513990490278740,(385) 363-5364,84129,"1904 W 5400 S, Taylorsville, UT 84129"
1823507,48217847,381,1,46,4,6,19,1,2,200,4600200,27235,22,March,2005,4600200,9,6,76,20,69,22 March 2005,2005-03-22,"CIT,MAR,OCCP,SEX,ST",Laura Gonzalez,253-96-9198,5517565512567469,(605) 394-2610,58795,"117 Main St, Wildrose, ND 58795"
255199,91944428,1,35,40,5,3,2,1,1,307,4000307,33228,18,August,2021,4000307,12,12,92,4,73,18 August 2021,2021-08-18,"CIT,RAC2P,SCHL,SEX,ST",George Barker,552-34-9578,30154516808762,(808) 727-7648,96816,"Kahala Resort, 5000 Kahala Ave #5000, Honolulu, HI 96816"
169859,85949625,433,12,12,3,1,22,2,2,305,1200305,17824,16,June,1979,1200305,23,8,50,46,67,16 June 1979,1979-06-16,"CIT,OCCP,RAC2P,SCHL,ST",Lulu Rickard,439-75-6544,4703482477109328,(571) 515-8148,22031,"2729 Merrilee Dr, Fairfax, VA 22031"
870495,84620789,345,1,12,1,6,23,3,2,2900,1202900,20668,30,March,1987,1202900,30,6,58,38,52,30 March 1987,1987-03-30,"ESR,MAR,OCCP,RAC2P,SCHL",Lura Finch,371-29-2267,341317127484679,(276) 292-6442,23321,"4200 Portsmouth Blvd Suite 872, Chesapeake, VA 23321"
162666,4200827,11,7,5,3,1,23,2,1,3411,0503411,14915,29,June,1971,503411,29,8,42,54,218,29 June 1971,1971-06-29,"DOB,MAR,OCCP,RAC2P,ST",William Cahoon,522-64-1490,6011639821465845,(773) 668-3944,60601,"323 E Wacker Dr, Chicago, IL 60601"
996792,61122673,430,1,45,5,1,23,2,1,102,4500102,23374,26,August,1994,4500102,13,12,65,31,119,26 August 1994,1994-08-26,"CIT,MAR,OCCP,SEX,ST",August Easley,774-07-1797,4278755886753397,(302) 797-5781,19342,"1051 Baltimore Pike, Glen Mills, PA 19342"
738860,23041515,3,6,1,3,4,22,2,1,6108,0106108,21613,30,October,1989,106108,30,5,60,36,57,30 October 1989,1989-10-30,"CIT,DOB,OCCP,SCHL,SEX",Horace Romo,157-81-2622,6011576627028957,(310) 251-4609,91007,"400 S Baldwin Ave Suite 930-U, Arcadia, CA 91007"
1678076,63455196,277,16,18,1,2,18,5,1,2300,1802300,14103,8,April,1969,1802300,10,7,40,56,161,8 April 1969,1969-04-08,"ESR,MAR,OCCP,RAC2P,SEX",Fred Gillespie,812-88-6917,4026217459615862,(636) 869-7710,72434,"5552 US-63, Imboden, AR 72434"
1066462,60073567,340,1,2,1,1,20,1,1,200,0200200,17427,15,May,1978,200200,16,4,49,47,86,15 May 1978,1978-05-15,"DOB,ESR,MAR,SCHL,ST",John Walker,611-09-6305,343431611724009,(432) 749-0133,79109,"3501 SW 45th Ave, Amarillo, TX 79109"
782394,7262013,141,35,10,2,6,21,1,2,3700,1003700,25531,22,July,2000,903700,9,2,71,25,52,22 July 2000,2000-07-22,"CIT,ESR,MAR,RAC2P,SCHL",Mary Islas,391-77-7669,375623869222196,(336) 641-2194,28304,"1400 Walter Reed Rd #130, Fayetteville, NC 28304"
2130296,61822879,229,1,50,4,6,23,2,2,103,5000103,23485,15,December,1994,5000103,16,3,65,31,47,15 December 1994,1994-12-15,"CIT,ESR,SCHL,SEX,ST",Martha Horner,542-33-9065,6011923747407481,(202) 944-5992,81210,"23044 Co Rd 742, Almont, CO 81210"
548472,53241189,432,1,21,1,1,20,2,2,1100,2101100,25097,15,May,1999,2101100,16,4,70,26,183,15 May 1999,1999-05-15,"DOB,OCCP,RAC2P,SCHL,SEX",Meta Rice,882-02-1877,5194647436713690,(952) 612-5995,55426,"3401 Louisiana Ave S, St Louis Park, MN 55426"
2151320,73241100,385,11,4,3,1,10,2,2,4007,0404007,16012,30,June,1974,404007,30,8,45,51,97,30 June 1974,1974-06-30,"CIT,MAR,OCCP,RAC2P,SCHL",Julia Trautman,699-69-4372,370640909743952,(305) 610-0838,33139,"900 Ocean Dr, Miami Beach, FL 33139"
2173457,73891,222,7,5,3,1,17,2,2,3503,0503503,17467,24,June,1978,503503,26,8,49,47,94,24 June 1978,1978-06-24,"CIT,DOB,ESR,OCCP,RAC2P",Bertha Moore,788-83-5574,5210470952145621,(779) 775-3189,60611,"401 N Wabash Ave, Chicago, IL 60611"
203954,1926903,9,2,5,1,1,19,1,1,3513,0503513,19742,15,September,1984,503513,16,11,55,41,237,15 September 1984,1984-09-15,"DOB,MAR,RAC2P,SCHL,ST",George Ortiz,115-38-7124,5224745171236853,(618) 766-4728,60654,"626 N State St, Chicago, IL 60654"
2864004,73888635,64,2,2,5,6,21,2,2,3702,0203702,21511,20,July,1989,203702,4,2,60,36,51,20 July 1989,1989-07-20,"CIT,ESR,OCCP,SCHL,SEX",Ettie Rosenstein,162-59-0054,4817549651370984,(254) 595-8261,76657,"1315 W McGregor Dr, McGregor, TX 76657"
1970776,30042590,202,1,19,5,6,22,3,2,1201,1901201,18987,22,August,1982,2001201,9,12,53,43,139,22 August 1982,1982-08-22,"CIT,ESR,MAR,SCHL,ST",Stella Gemma,740-93-4316,347461200471130,(443) 982-9008,20001,"520 North Capitol St NW, Washington, DC 20001"
1497909,64372114,275,1,44,4,6,23,2,2,400,4400400,23153,17,January,1994,4400400,2,1,65,32,154,17 January 1994,1994-01-17,"CIT,ESR,MAR,SCHL,ST",Ann Sanders,513-98-2928,38586926179643,(406) 838-1946,59254,"625 W Laurel Ave, Plentywood, MT 59254"
685152,12486198,189,1,7,1,1,23,2,2,2100,0702100,12542,29,December,1964,702100,29,3,35,61,97,29 December 1964,1964-12-29,"CIT,DOB,OCCP,SCHL,SEX",Lina Cronin,520-14-4890,4735158506431717,(220) 299-6453,44333,"3265 W Market St, Fairlawn, OH 44333"
1116680,84485416,349,1,12,5,6,20,2,2,2803,1202803,20618,8,February,1987,1202803,10,10,58,38,71,8 February 1987,1987-02-08,"CIT,ESR,MAR,OCCP,SEX",Callie Estrin,862-82-8318,3553293183933528,(540) 547-9139,23510,"420 Monticello Ave #150, Norfolk, VA 23510"
2918362,59032862,185,1,29,1,1,17,2,2,1600,2901600,19629,25,May,1984,2901600,21,4,55,41,112,25 May 1984,1984-05-25,"DOB,ESR,MAR,OCCP,SCHL",Martha Young,624-26-2505,30228421020539,(860) 973-2363,06510,"220 College St, New Haven, CT 06510"
913604,5353862,203,26,47,5,4,17,2,1,102,4700102,26331,30,September,2002,4700102,30,11,73,23,217,30 September 2002,2002-09-30,"CIT,ESR,OCCP,RAC2P,SEX",Charles Ellison,383-98-2647,30240268117757,(907) 816-8341,99587,"36511 Seward Hwy Suite 9, Girdwood, AK 99587"
2268955,2753916,490,1,5,3,2,22,4,2,3303,0503303,11673,13,August,1962,503303,8,12,33,63,82,13 August 1962,1962-08-13,"CIT,ESR,MAR,OCCP,SCHL",Mayme Hohensee,553-68-0010,38839084700761,(630) 712-0659,60010,"21600 W Field Pkwy, Deer Park, IL 60010"
2012084,82303551,1,26,34,3,2,22,4,1,602,3400602,8180,19,January,1953,3300602,25,1,24,73,40,19 January 1953,1953-01-19,"CIT,MAR,RAC2P,SCHL,ST",John Masters,614-42-8006,6011115921249983,(385) 239-2245,84604,"504 W 2230 N, Provo, UT 84604"
2842520,91472289,106,26,40,5,6,22,2,2,306,4000306,18269,3,September,1980,4000306,1,11,51,45,69,3 September 1980,1980-09-03,"CIT,ESR,RAC2P,SEX,ST",Hattie Marshall,020-15-5948,3578961183673655,(808) 685-8508,96816,"4211 Waialae Ave, Honolulu, HI 96816"
709045,38859142,1,3,6,5,2,7,5,1,4105,0604105,4794,13,October,1943,604105,8,5,14,82,534,13 October 1943,1943-10-13,"CIT,DOB,ESR,MAR,SEX",William Hardy,852-40-3924,6011565452711118,(717) 352-9932,19125,"1201 Frankford Ave, Philadelphia, PA 19125"
952055,34111371,58,1,14,1,1,23,2,1,2600,1402600,15884,22,February,1974,1402600,9,10,45,51,64,22 February 1974,1974-02-22,"DOB,ESR,OCCP,RAC2P,ST",Wash Parks,060-31-9296,6011809885165603,(978) 343-5373,02116,"4 Columbus Ave, Boston, MA 02116"
2113878,89510465,87,2,12,3,1,22,2,2,100,1200100,20145,23,October,1985,1200100,28,5,56,40,143,23 October 1985,1985-10-23,"DOB,ESR,OCCP,SEX,ST",Myrtle Spinelli,081-11-7963,371983273158517,(703) 526-2662,22202,"2231 Crystal Dr 11th Floor, Arlington, VA 22202"
475554,6284950,66,1,16,3,2,22,2,2,300,1600300,7386,17,November,1950,1600300,2,9,21,75,90,17 November 1950,1950-11-17,"CIT,DOB,ESR,MAR,OCCP",Carrie Geach,836-09-8728,348998094024458,(623) 831-4902,86043,"Hwy 264, Milepost 379, Second Mesa, AZ 86043"
1256678,60535518,30,2,2,2,1,20,3,2,2315,0202315,22879,18,April,1993,202315,12,7,64,32,255,18 April 1993,1993-04-18,"CIT,DOB,RAC2P,SCHL,ST",Mettie Ferguson,785-17-2104,349612018366759,(915) 544-8311,75201,"2201 N Lamar St, Dallas, TX 75201"
348489,69516896,13,1,2,1,5,20,1,2,1700,0201700,27307,2,June,2005,201700,5,8,76,20,155,2 June 2005,2005-06-02,"DOB,ESR,MAR,SEX,ST",Louise Banks,676-61-9008,5399102290147679,(832) 745-8025,75965,"1950 North St, Nacogdoches, TX 75965"
2173805,69411429,175,30,4,5,6,20,1,2,2702,0402702,27711,11,July,2006,402702,18,2,77,19,161,11 July 2006,2006-07-11,"CIT,ESR,MAR,RAC2P,SCHL",Ella Garcia,170-34-8646,30438156149789,(772) 686-0272,33602,"801 Water St #1905, Tampa, FL 33602"
300456,67749158,18,7,2,3,5,23,3,1,2315,0202315,14218,1,August,1969,202315,3,12,40,56,160,1 August 1969,1969-08-01,"DOB,ESR,MAR,RAC2P,ST",Will Walden,894-78-6933,3569003432445105,(512) 539-1795,75002,"1500 Andrews Pkwy, Allen, TX 75002"
829747,89552209,141,1,9,1,7,17,1,2,3800,0903800,27060,28,September,2004,1003800,20,11,75,21,168,28 September 2004,2004-09-28,"ESR,OCCP,SCHL,SEX,ST",Mary Greene,217-70-3296,6011683885160603,(762) 797-5040,31520,"70 Golden Isles Plz, Brunswick, GA 31520"
2024114,71577340,1,1,11,5,2,17,3,1,303,1100303,7059,25,December,1949,1100303,21,3,20,76,92,25 December 1949,1949-12-25,"CIT,DOB,ESR,MAR,ST",Anderson Dixon,731-40-6538,6011966416052971,(201) 685-4350,10001,"851 6th Ave, New York, NY 10001"
1294471,53217552,340,1,21,1,1,22,2,2,1501,2101501,18613,13,August,1981,2101501,8,12,52,44,166,13 August 1981,1981-08-13,"CIT,DOB,OCCP,SEX,ST",Elizabeth Clemons,688-84-6119,3513696816453525,(763) 994-9477,55102,"498 Selby Ave, St Paul, MN 55102"
2358231,75363289,75,30,11,5,4,19,2,2,1201,1101201,23516,15,January,1995,1101201,16,1,66,31,73,15 January 1995,1995-01-15,"CIT,ESR,RAC2P,SCHL,SEX",Leitha Holmes,449-67-7398,4552312432921271,(973) 433-0841,08401,"One Atlantic Ocean, Atlantic City, NJ 08401"
751681,83223892,79,41,9,4,6,20,1,2,3700,0903700,25966,30,September,2001,1003700,30,11,72,24,155,30 September 2001,2001-09-30,"CIT,ESR,RAC2P,SEX,ST",Susie Mcgary,124-32-3682,6011527177449051,(770) 374-8589,31569,"700 Bedell Ave, Woodbine, GA 31569"
686548,134702,72,1,5,2,1,10,2,2,3003,0503003,20235,21,January,1986,503003,14,1,57,40,157,21 January 1986,1986-01-21,"DOB,MAR,OCCP,SEX,ST",Sarah Wert,066-44-0345,38700541199866,(815) 938-6229,60563,"1740 Freedom Dr, Naperville, IL 60563"
2080450,82070179,141,1,3,1,7,20,1,1,4201,0304201,27191,6,February,2005,304201,27,10,76,20,160,6 February 2005,2005-02-06,"ESR,MAR,OCCP,SCHL,SEX",Joseph Kunkel,603-71-3771,6011935978207158,(516) 897-3968,81230,"130 Co Rd 742, Gunnison, CO 81230"
269997,39641578,189,20,1,2,4,23,2,2,3001,0103001,22998,15,August,1993,103001,16,12,64,32,81,15 August 1993,1993-08-15,"CIT,ESR,OCCP,RAC2P,SEX",Stella Gifford,603-29-0118,3537788925546653,(279) 786-1800,93921,"Ocean Avenue at, Monte Verde St, Carmel-By-The-Sea, CA 93921"
636712,29704406,407,1,27,3,4,17,4,2,1310,2701310,16378,1,July,1975,2701310,3,2,46,50,99,1 July 1975,1975-07-01,"ESR,OCCP,SCHL,SEX,ST",Anna Overfield,073-91-0965,3515186449251924,(503) 219-7225,97204,"111 SW 5th Ave 30th Floor, Portland, OR 97204"
477411,49548995,238,1,17,1,4,14,3,2,2500,1702500,15399,25,October,1972,1702500,21,5,43,53,59,25 October 1972,1972-10-25,"CIT,DOB,MAR,OCCP,SEX",Martha Sanders,235-09-0515,379148652816851,(629) 628-2481,37130,"2075 Lascassas Pike, Murfreesboro, TN 37130"
2451131,75557607,87,6,11,3,1,17,2,1,905,1100905,21453,23,May,1989,1100905,28,4,60,36,314,23 May 1989,1989-05-23,"CIT,OCCP,RAC2P,SCHL,ST",John Redd,881-43-1161,4357332214188805,(856) 907-3340,08820,"9 Lincoln Hwy, Edison, NJ 08820"
2318973,32588089,9,3,1,3,4,10,5,1,5415,0105415,14610,28,August,1970,105415,20,12,41,55,105,28 August 1970,1970-08-28,"CIT,DOB,ESR,MAR,RAC2P",Lee Williams,527-31-4563,3522292706537947,(818) 713-7726,91423,"14006 Riverside Dr, Sherman Oaks, CA 91423"
1187543,52216600,196,8,22,1,5,22,1,1,809,2200809,26008,11,November,2001,2200809,18,9,72,24,189,11 November 2001,2001-11-11,"ESR,OCCP,SCHL,SEX,ST",Arthur Kennedy,686-63-3511,3547359774688620,(303) 922-2262,80202,"1453 Larimer St, Denver, CO 80202"
802045,59790842,60,3,29,5,1,22,1,1,2400,2902400,24798,20,July,1998,2902400,4,2,69,27,71,20 July 1998,1998-07-20,"CIT,DOB,ESR,SCHL,SEX",Willie Watson,553-17-9356,5507581814124786,(475) 774-5325,06611,"near OLD Navy, Lower Level, 5065 Main St Space 1092, Trumbull, CT 06611"
1378449,97629934,279,14,3,2,1,22,2,2,3807,0303807,23117,12,December,1993,303807,11,3,64,32,77,12 December 1993,1993-12-12,"CIT,ESR,OCCP,RAC2P,SCHL",Sadie Houston,591-61-3982,5475060685361536,(914) 738-6173,10013,"310 W Broadway, New York, NY 10013"
2035468,11814422,71,31,16,1,1,17,2,1,800,1600800,20060,30,July,1985,1600800,30,2,56,40,79,30 July 1985,1985-07-30,"DOB,ESR,MAR,RAC2P,ST",Roger Carter,804-61-6670,4220472779010435,(602) 377-7531,85234,"4536 E Elliot Rd, Gilbert, AZ 85234"
1238762,8995995,13,7,10,3,1,17,2,1,4500,1004500,16255,28,February,1975,904500,20,10,46,50,167,28 February 1975,1975-02-28,"CIT,DOB,OCCP,RAC2P,SEX",Frank King,195-13-1589,5543410369711795,(984) 550-8950,28466,"110 Vines Lndg, Wallace, NC 28466"
238008,89431490,19,2,9,1,2,17,1,2,500,0900500,26080,22,January,2002,1000500,9,1,73,24,396,22 January 2002,2002-01-22,"DOB,MAR,RAC2P,SCHL,ST",Lona Biedermann,675-56-5805,30246095396217,(706) 892-4331,30601,"199 N Lumpkin St, Athens, GA 30601"
328291,6004131,362,1,51,1,1,17,2,2,300,5100300,14867,12,May,1971,5100300,11,4,42,54,179,12 May 1971,1971-05-12,"DOB,ESR,MAR,OCCP,SEX",Annie Goolsby,434-53-7652,30067065405154,(307) 396-4038,69154,"315 Main St, Oshkosh, NE 69154"
